Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
164409,AA Batteries (4-pack),1,3.84,04/25/22 12:40,"194 Willow St, Los Angeles, CA 90001"
164410,AA Batteries (4-pack),1,3.84,04/02/22 17:54,"161 Pine St, Dallas, TX 75001"
164411,34in Ultrawide Monitor,1,379.99,04/14/22 13:58,"193 Adams St, New York City, NY 10001"
164412,Lightning Charging Cable,1,14.95,04/28/22 03:44,"270 Center St, Atlanta, GA 30301"
164413,27in FHD Monitor,1,149.99,04/22/22 22:26,"698 River St, Atlanta, GA 30301"
164414,AA Batteries (4-pack),1,3.84,04/15/22 21:45,"430 12th St, San Francisco, CA 94016"
164415,Apple Airpods Headphones,1,150.0,04/05/22 22:07,"894 Highland St, San Francisco, CA 94016"
164416,AA Batteries (4-pack),1,3.84,04/20/22 10:41,"516 Center St, Boston, MA 02215"
164417,AAA Batteries (4-pack),2,2.99,04/30/22 06:31,"156 6th St, Seattle, WA 98101"
164418,Lightning Charging Cable,1,14.95,04/15/22 18:07,"209 Main St, Boston, MA 02215"
164419,Macbook Pro Laptop,1,1700.0,04/23/22 12:42,"929 Pine St, San Francisco, CA 94016"
164420,34in Ultrawide Monitor,1,379.99,04/16/22 12:57,"783 12th St, Portland, OR 97035"
164421,Macbook Pro Laptop,1,1700.0,04/10/22 10:05,"728 Chestnut St, Los Angeles, CA 90001"
164422,Lightning Charging Cable,1,14.95,04/21/22 21:48,"880 1st St, Los Angeles, CA 90001"
164423,USB-C Charging Cable,1,11.95,04/13/22 22:43,"741 Hill St, Atlanta, GA 30301"
164424,Lightning Charging Cable,1,14.95,04/24/22 23:28,"591 Elm St, Dallas, TX 75001"
164425,Apple Airpods Headphones,1,150.0,04/02/22 17:09,"546 River St, San Francisco, CA 94016"
164426,Wired Headphones,1,11.99,04/26/22 19:04,"126 14th St, Dallas, TX 75001"
164427,27in 4K Gaming Monitor,1,389.99,04/06/22 21:42,"186 Park St, New York City, NY 10001"
164428,AAA Batteries (4-pack),1,2.99,04/29/22 17:24,"1 Washington St, Seattle, WA 98101"
164429,USB-C Charging Cable,1,11.95,04/03/22 09:34,"979 13th St, San Francisco, CA 94016"
164430,Apple Airpods Headphones,1,150.0,04/13/22 17:10,"474 8th St, New York City, NY 10001"
164431,Macbook Pro Laptop,1,1700.0,04/07/22 18:15,"368 Lake St, San Francisco, CA 94016"
164432,USB-C Charging Cable,1,11.95,04/02/22 16:36,"293 Washington St, San Francisco, CA 94016"
164433,Wired Headphones,1,11.99,04/03/22 18:59,"43 Pine St, Boston, MA 02215"
164434,Lightning Charging Cable,1,14.95,04/30/22 19:39,"284 6th St, Portland, OR 97035"
164435,20in Monitor,1,109.99,04/04/22 12:09,"940 5th St, Atlanta, GA 30301"
164436,27in FHD Monitor,1,149.99,04/08/22 16:04,"261 11th St, San Francisco, CA 94016"
164437,Google Phone,1,600.0,04/12/22 07:38,"832 Wilson St, Atlanta, GA 30301"
164437,USB-C Charging Cable,1,11.95,04/12/22 07:38,"832 Wilson St, Atlanta, GA 30301"
164438,Bose SoundSport Headphones,1,99.99,04/15/22 15:18,"276 Willow St, Portland, OR 97035"
164439,34in Ultrawide Monitor,1,379.99,04/25/22 21:37,"861 Maple St, Portland, OR 97035"
