Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
212726,Lightning Charging Cable,1,14.95,08/07/22 12:04,"8 West St, San Francisco, CA 94016"
212727,27in FHD Monitor,1,149.99,08/19/22 11:30,"475 2nd St, Boston, MA 02215"
212728,34in Ultrawide Monitor,1,379.99,08/20/22 09:42,"255 Jefferson St, Seattle, WA 98101"
212728,Wired Headphones,1,11.99,08/20/22 09:42,"255 Jefferson St, Seattle, WA 98101"
212729,AAA Batteries (4-pack),1,2.99,08/24/22 11:02,"329 9th St, Los Angeles, CA 90001"
212730,Wired Headphones,2,11.99,08/17/22 01:44,"328 Main St, Los Angeles, CA 90001"
212731,USB-C Charging Cable,1,11.95,08/22/22 09:45,"601 Willow St, San Francisco, CA 94016"
212732,Apple Airpods Headphones,1,150.0,08/08/22 13:39,"498 Chestnut St, Atlanta, GA 30301"
212733,USB-C Charging Cable,1,11.95,08/03/22 12:29,"411 North St, Portland, ME 04101"
212734,Wired Headphones,1,11.99,08/23/22 02:21,"670 Wilson St, San Francisco, CA 94016"
212735,Apple Airpods Headphones,1,150.0,08/19/22 13:36,"86 9th St, Portland, OR 97035"
212736,Bose SoundSport Headphones,1,99.99,08/13/22 17:31,"626 13th St, New York City, NY 10001"
212737,Apple Airpods Headphones,1,150.0,08/09/22 08:44,"28 6th St, Portland, OR 97035"
212738,34in Ultrawide Monitor,1,379.99,08/24/22 15:56,"72 12th St, Dallas, TX 75001"
212739,AA Batteries (4-pack),1,3.84,08/15/22 20:03,"317 12th St, Austin, TX 73301"
212740,Apple Airpods Headphones,1,150.0,08/02/22 12:02,"924 Willow St, Atlanta, GA 30301"
212741,Lightning Charging Cable,1,14.95,08/22/22 19:10,"319 South St, Boston, MA 02215"
212742,27in FHD Monitor,1,149.99,08/02/22 13:14,"36 13th St, Dallas, TX 75001"
212743,USB-C Charging Cable,1,11.95,08/14/22 18:47,"621 Main St, New York City, NY 10001"
212744,Bose SoundSport Headphones,1,99.99,08/01/22 22:34,"276 Wilson St, New York City, NY 10001"
212745,Macbook Pro Laptop,1,1700.0,08/12/22 16:12,"732 Church St, San Francisco, CA 94016"
212746,Apple Airpods Headphones,1,150.0,08/31/22 13:39,"721 Maple St, Boston, MA 02215"
212747,iPhone,1,700.0,08/09/22 08:47,"519 12th St, San Francisco, CA 94016"
212748,iPhone,1,700.0,08/12/22 07:02,"395 Johnson St, New York City, NY 10001"
212749,20in Monitor,1,109.99,08/13/22 12:33,"49 Walnut St, Los Angeles, CA 90001"
212750,27in 4K Gaming Monitor,1,389.99,08/13/22 10:34,"329 Center St, New York City, NY 10001"
212751,iPhone,1,700.0,08/08/22 21:05,"678 Lincoln St, San Francisco, CA 94016"
212751,Lightning Charging Cable,1,14.95,08/08/22 21:05,"678 Lincoln St, San Francisco, CA 94016"
212751,Wired Headphones,1,11.99,08/08/22 21:05,"678 Lincoln St, San Francisco, CA 94016"
212752,Wired Headphones,1,11.99,08/27/22 14:33,"661 South St, New York City, NY 10001"
212753,Apple Airpods Headphones,1,150.0,08/06/22 20:20,"949 14th St, Dallas, TX 75001"
212754,Wired Headphones,1,11.99,08/15/22 23:00,"630 Elm St, San Francisco, CA 94016"
212755,27in FHD Monitor,1,149.99,08/21/22 19:22,"490 Washington St, New York City, NY 10001"
212756,AA Batteries (4-pack),2,3.84,08/01/22 17:32,"841 Wilson St, Atlanta, GA 30301"
212757,USB-C Charging Cable,1,11.95,08/15/22 10:44,"632 Center St, Boston, MA 02215"
212758,Lightning Charging Cable,1,14.95,08/21/22 20:48,"71 Center St, New York City, NY 10001"
212759,27in FHD Monitor,1,149.99,08/14/22 20:37,"97 9th St, Boston, MA 02215"
212760,USB-C Charging Cable,1,11.95,08/16/22 22:19,"634 Cedar St, Boston, MA 02215"
212761,Lightning Charging Cable,1,14.95,08/11/22 08:04,"927 Jefferson St, San Francisco, CA 94016"
212762,Apple Airpods Headphones,1,150.0,08/30/22 18:18,"314 Lakeview St, San Francisco, CA 94016"
