Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
270508,Flatscreen TV,1,300.0,12/26/22 17:18,"938 Ridge St, Los Angeles, CA 90001"
270509,Apple Airpods Headphones,1,150.0,12/02/22 10:45,"157 7th St, Atlanta, GA 30301"
270510,Apple Airpods Headphones,1,150.0,12/04/22 14:28,"141 River St, Atlanta, GA 30301"
270510,Wired Headphones,1,11.99,12/04/22 14:28,"141 River St, Atlanta, GA 30301"
270511,27in FHD Monitor,1,149.99,12/04/22 13:15,"28 Jackson St, San Francisco, CA 94016"
270512,USB-C Charging Cable,1,11.95,12/27/22 18:40,"736 Elm St, Austin, TX 73301"
270513,Lightning Charging Cable,1,14.95,12/21/22 08:47,"601 11th St, Austin, TX 73301"
270514,AA Batteries (4-pack),1,3.84,12/15/22 20:56,"769 Cherry St, San Francisco, CA 94016"
270515,Flatscreen TV,1,300.0,12/23/22 21:39,"758 Cedar St, New York City, NY 10001"
270516,AAA Batteries (4-pack),3,2.99,12/11/22 19:55,"961 Elm St, Los Angeles, CA 90001"
270517,AA Batteries (4-pack),1,3.84,12/17/22 19:19,"265 South St, Boston, MA 02215"
270518,Wired Headphones,1,11.99,12/07/22 19:30,"62 Cedar St, San Francisco, CA 94016"
270519,Lightning Charging Cable,1,14.95,12/07/22 08:00,"181 9th St, Boston, MA 02215"
270520,Bose SoundSport Headphones,1,99.99,12/04/22 21:32,"93 Church St, Portland, OR 97035"
270521,Wired Headphones,1,11.99,12/21/22 10:41,"187 Pine St, San Francisco, CA 94016"
270522,Macbook Pro Laptop,1,1700.0,12/25/22 08:13,"409 Adams St, Los Angeles, CA 90001"
270523,34in Ultrawide Monitor,1,379.99,12/25/22 07:02,"23 Cherry St, Los Angeles, CA 90001"
270524,Flatscreen TV,1,300.0,12/02/22 23:12,"27 North St, New York City, NY 10001"
270525,AAA Batteries (4-pack),1,2.99,12/25/22 22:34,"110 Center St, Dallas, TX 75001"
270526,Bose SoundSport Headphones,1,99.99,12/19/22 09:46,"952 Ridge St, San Francisco, CA 94016"
270527,27in 4K Gaming Monitor,1,389.99,12/23/22 19:54,"633 2nd St, New York City, NY 10001"
270528,AAA Batteries (4-pack),1,2.99,12/31/22 17:42,"767 Spruce St, Dallas, TX 75001"
270529,Lightning Charging Cable,2,14.95,12/03/22 16:46,"250 6th St, Atlanta, GA 30301"
270530,Bose SoundSport Headphones,1,99.99,12/28/22 21:55,"744 Chestnut St, San Francisco, CA 94016"
270531,iPhone,1,700.0,12/24/22 10:20,"202 6th St, Los Angeles, CA 90001"
270532,Apple Airpods Headphones,2,150.0,12/21/22 22:49,"826 Elm St, Austin, TX 73301"
270533,USB-C Charging Cable,1,11.95,12/29/22 22:34,"621 Park St, New York City, NY 10001"
270534,Lightning Charging Cable,1,14.95,12/14/22 19:50,"836 Meadow St, Atlanta, GA 30301"
270535,USB-C Charging Cable,1,11.95,12/30/22 19:40,"457 5th St, Seattle, WA 98101"
270536,AAA Batteries (4-pack),1,2.99,12/27/22 17:31,"458 Jackson St, Los Angeles, CA 90001"
270537,Apple Airpods Headphones,1,150.0,12/24/22 19:37,"869 13th St, Seattle, WA 98101"
270538,AAA Batteries (4-pack),2,2.99,12/15/22 20:41,"386 4th St, Seattle, WA 98101"
270539,34in Ultrawide Monitor,1,379.99,12/22/22 20:16,"77 Jackson St, Dallas, TX 75001"
270540,Lightning Charging Cable,1,14.95,12/06/22 11:24,"455 Madison St, Portland, ME 04101"
,,,,,
270541,Lightning Charging Cable,1,14.95,12/20/22 14:40,"442 Jefferson St, Los Angeles, CA 90001"
270542,Vareebadd Phone,1,400,12/27/22 19:39,"521 Chestnut St, Dallas, TX 75001"
270543,Bose SoundSport Headphones,1,99.99,12/11/22 16:01,"184 Walnut St, Atlanta, GA 30301"
270544,27in 4K Gaming Monitor,1,389.99,12/22/22 10:02,"830 6th St, Los Angeles, CA 90001"
270545,Wired Headphones,1,11.99,12/10/22 23:22,"685 Forest St, Los Angeles, CA 90001"
270546,Apple Airpods Headphones,1,150,12/24/22 19:38,"199 North St, Los Angeles, CA 90001"
270547,Wired Headphones,1,11.99,12/28/22 20:15,"496 Maple St, San Francisco, CA 94016"
270548,AAA Batteries (4-pack),1,2.99,12/06/22 23:35,"875 Chestnut St, Los Angeles, CA 90001"
270549,Bose SoundSport Headphones,1,99.99,12/13/22 09:27,"278 Main St, Boston, MA 02215"
270550,Lightning Charging Cable,1,14.95,12/28/22 20:55,"462 8th St, Dallas, TX 75001"
270551,27in FHD Monitor,1,149.99,12/20/22 22:45,"767 Johnson St, San Francisco, CA 94016"
270552,Wired Headphones,1,11.99,12/27/22 23:08,"218 1st St, Dallas, TX 75001"
270553,27in 4K Gaming Monitor,1,389.99,12/07/22 10:17,"681 8th St, San Francisco, CA 94016"
270553,Vareebadd Phone,1,400,12/07/22 10:17,"681 8th St, San Francisco, CA 94016"
270554,Apple Airpods Headphones,1,150,12/01/22 19:15,"273 9th St, Boston, MA 02215"
270555,Lightning Charging Cable,1,14.95,12/28/22 18:19,"142 Cedar St, San Francisco, CA 94016"
270555,AA Batteries (4-pack),1,3.84,12/28/22 18:19,"142 Cedar St, San Francisco, CA 94016"
270556,AAA Batteries (4-pack),1,2.99,12/08/22 10:56,"833 10th St, Los Angeles, CA 90001"
270557,Macbook Pro Laptop,1,1700,12/11/22 21:49,"99 Jackson St, Los Angeles, CA 90001"
270558,Bose SoundSport Headphones,1,99.99,12/26/22 23:13,"325 Center St, San Francisco, CA 94016"
270559,Bose SoundSport Headphones,1,99.99,12/28/22 23:48,"546 Spruce St, Los Angeles, CA 90001"
270560,Flatscreen TV,1,300,12/16/22 13:12,"678 Hill St, Boston, MA 02215"
270561,Lightning Charging Cable,1,14.95,12/02/22 00:33,"7 Maple St, Portland, OR 97035"
270562,AA Batteries (4-pack),1,3.84,12/15/22 22:50,"845 5th St, Atlanta, GA 30301"
270563,34in Ultrawide Monitor,1,379.99,12/14/22 22:19,"285 Madison St, Seattle, WA 98101"
270564,AA Batteries (4-pack),1,3.84,12/12/22 22:00,"761 14th St, Boston, MA 02215"
270565,ThinkPad Laptop,1,999.99,12/18/22 18:37,"919 13th St, Seattle, WA 98101"
270566,iPhone,1,700,12/26/22 06:32,"687 Wilson St, Portland, OR 97035"
270567,AAA Batteries (4-pack),2,2.99,12/04/22 22:29,"236 Sunset St, San Francisco, CA 94016"
270568,AA Batteries (4-pack),1,3.84,12/30/22 12:00,"406 Jefferson St, San Francisco, CA 94016"
270569,Bose SoundSport Headphones,1,99.99,12/24/22 17:54,"456 14th St, San Francisco, CA 94016"
270570,Apple Airpods Headphones,1,150,12/09/22 15:32,"14 9th St, Dallas, TX 75001"
270571,Vareebadd Phone,1,400,12/12/22 05:36,"721 Church St, Atlanta, GA 30301"
270571,USB-C Charging Cable,1,11.95,12/12/22 05:36,"721 Church St, Atlanta, GA 30301"
270571,Apple Airpods Headphones,1,150,12/12/22 05:36,"721 Church St, Atlanta, GA 30301"
270572,USB-C Charging Cable,1,11.95,12/27/22 21:53,"542 Dogwood St, Boston, MA 02215"
270573,AA Batteries (4-pack),2,3.84,12/01/22 13:32,"44 Jackson St, Seattle, WA 98101"
270574,Apple Airpods Headphones,1,150,12/20/22 22:06,"865 10th St, Los Angeles, CA 90001"
270575,AA Batteries (4-pack),1,3.84,12/19/22 18:16,"775 9th St, Los Angeles, CA 90001"
270576,AA Batteries (4-pack),2,3.84,12/13/22 16:33,"933 Chestnut St, New York City, NY 10001"
270577,Wired Headphones,1,11.99,12/02/22 18:10,"625 Dogwood St, San Francisco, CA 94016"
270578,Macbook Pro Laptop,1,1700,12/16/22 15:14,"189 South St, Boston, MA 02215"
270579,Wired Headphones,1,11.99,12/11/22 07:48,"508 Willow St, New York City, NY 10001"
270580,20in Monitor,1,109.99,12/22/22 12:00,"106 Hickory St, Los Angeles, CA 90001"
270581,Wired Headphones,1,11.99,12/15/22 15:03,"606 Hickory St, Boston, MA 02215"
270582,Macbook Pro Laptop,1,1700,12/10/22 13:40,"176 Lake St, New York City, NY 10001"
270583,USB-C Charging Cable,1,11.95,12/04/22 08:19,"219 Cherry St, Atlanta, GA 30301"
270584,AAA Batteries (4-pack),1,2.99,12/09/22 18:51,"974 West St, Los Angeles, CA 90001"
270585,AA Batteries (4-pack),1,3.84,12/13/22 11:55,"432 Ridge St, Austin, TX 73301"
270586,AA Batteries (4-pack),1,3.84,12/23/22 18:51,"50 Lakeview St, San Francisco, CA 94016"
270587,27in FHD Monitor,1,149.99,12/06/22 00:58,"224 4th St, Atlanta, GA 30301"
270588,Wired Headphones,1,11.99,12/17/22 06:18,"266 Elm St, Atlanta, GA 30301"
