Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
152025,ThinkPad Laptop,1,999.99,02/15/22 15:34,"644 West St, New York City, NY 10001"
152026,20in Monitor,1,109.99,02/22/22 17:42,"653 Johnson St, New York City, NY 10001"
152027,34in Ultrawide Monitor,1,379.99,02/03/22 09:59,"273 Jefferson St, Boston, MA 02215"
152028,Bose SoundSport Headphones,1,99.99,02/18/22 09:51,"620 Hickory St, Seattle, WA 98101"
152029,AAA Batteries (4-pack),1,2.99,02/20/22 18:14,"468 Spruce St, San Francisco, CA 94016"
152030,Lightning Charging Cable,1,14.95,02/17/22 17:16,"735 Jefferson St, Seattle, WA 98101"
152031,AAA Batteries (4-pack),1,2.99,02/21/22 19:28,"353 Elm St, San Francisco, CA 94016"
152032,Lightning Charging Cable,1,14.95,02/28/22 17:51,"173 Adams St, Portland, ME 04101"
152033,Wired Headphones,1,11.99,02/04/22 15:12,"220 West St, Seattle, WA 98101"
152034,Wired Headphones,1,11.99,02/10/22 21:55,"804 Madison St, San Francisco, CA 94016"
152035,USB-C Charging Cable,1,11.95,02/25/22 13:10,"156 North St, San Francisco, CA 94016"
152036,AA Batteries (4-pack),1,3.84,02/09/22 00:26,"107 Cherry St, Portland, ME 04101"
152037,Google Phone,1,600.0,02/13/22 20:04,"806 Ridge St, San Francisco, CA 94016"
152038,AA Batteries (4-pack),1,3.84,02/12/22 14:04,"552 Church St, Dallas, TX 75001"
152039,27in 4K Gaming Monitor,1,389.99,02/17/22 14:37,"28 Wilson St, Portland, OR 97035"
152039,AAA Batteries (4-pack),2,2.99,02/17/22 14:37,"28 Wilson St, Portland, OR 97035"
152040,Bose SoundSport Headphones,1,99.99,02/01/22 15:07,"313 Spruce St, Los Angeles, CA 90001"
152041,AA Batteries (4-pack),1,3.84,02/24/22 17:52,"786 West St, San Francisco, CA 94016"
152042,USB-C Charging Cable,1,11.95,02/08/22 20:51,"612 Jackson St, New York City, NY 10001"
152043,27in 4K Gaming Monitor,1,389.99,02/04/22 19:20,"261 7th St, New York City, NY 10001"
152044,Lightning Charging Cable,3,14.95,02/25/22 14:13,"310 South St, Dallas, TX 75001"
152045,AAA Batteries (4-pack),1,2.99,02/17/22 16:42,"52 Lincoln St, San Francisco, CA 94016"
152046,USB-C Charging Cable,1,11.95,02/26/22 11:27,"731 South St, Boston, MA 02215"
152047,Apple Airpods Headphones,1,150.0,02/01/22 20:39,"173 Maple St, Los Angeles, CA 90001"
152048,Bose SoundSport Headphones,1,99.99,02/05/22 23:47,"448 Ridge St, San Francisco, CA 94016"
152049,27in 4K Gaming Monitor,1,389.99,02/27/22 00:13,"253 Pine St, New York City, NY 10001"
