Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Vareebadd Phone,1,400.0,01/20/22 06:25,"744 1st St, San Francisco, CA 94016"
141235,iPhone,1,700.0,01/03/22 09:51,"112 7th St, Los Angeles, CA 90001"
141236,Wired Headphones,1,11.99,01/08/22 19:43,"390 Sunset St, Boston, MA 02215"
141237,iPhone,1,700.0,01/08/22 21:40,"931 Church St, San Francisco, CA 94016"
141238,Google Phone,1,600.0,01/06/22 20:20,"71 7th St, New York City, NY 10001"
141239,27in FHD Monitor,1,149.99,01/30/22 12:56,"714 Highland St, San Francisco, CA 94016"
141240,Apple Airpods Headphones,1,150.0,01/28/22 10:23,"272 1st St, Atlanta, GA 30301"
141241,AA Batteries (4-pack),1,3.84,01/06/22 23:22,"565 Lake St, Atlanta, GA 30301"
141242,34in Ultrawide Monitor,1,379.99,01/31/22 13:14,"148 Lake St, San Francisco, CA 94016"
141243,Wired Headphones,1,11.99,01/22/22 20:01,"829 North St, New York City, NY 10001"
141244,Bose SoundSport Headphones,1,99.99,01/14/22 15:33,"18 Hill St, Seattle, WA 98101"
141245,AA Batteries (4-pack),1,3.84,01/28/22 14:28,"703 14th St, Portland, OR 97035"
141246,Apple Airpods Headphones,1,150.0,01/16/22 18:16,"161 Spruce St, New York City, NY 10001"
141247,Apple Airpods Headphones,1,150.0,01/17/22 19:38,"477 8th St, Los Angeles, CA 90001"
141248,Google Phone,1,600.0,01/17/22 16:44,"731 North St, San Francisco, CA 94016"
141248,USB-C Charging Cable,2,11.95,01/17/22 16:44,"731 North St, San Francisco, CA 94016"
141249,USB-C Charging Cable,1,11.95,01/25/22 06:22,"847 Jefferson St, Boston, MA 02215"
141250,Lightning Charging Cable,1,14.95,01/21/22 09:05,"242 Church St, Los Angeles, CA 90001"
141251,Wired Headphones,1,11.99,01/29/22 20:34,"456 River St, Boston, MA 02215"
141252,Apple Airpods Headphones,1,150.0,01/18/22 14:16,"202 Jefferson St, Los Angeles, CA 90001"
141253,34in Ultrawide Monitor,1,379.99,01/01/22 20:13,"325 10th St, Seattle, WA 98101"
141254,Wired Headphones,1,11.99,01/26/22 05:46,"160 Willow St, Los Angeles, CA 90001"
141255,Apple Airpods Headphones,1,150.0,01/31/22 17:15,"10 Dogwood St, Boston, MA 02215"
141256,34in Ultrawide Monitor,1,379.99,01/21/22 22:19,"827 Maple St, Boston, MA 02215"
141257,Bose SoundSport Headphones,1,99.99,01/05/22 09:27,"503 Adams St, San Francisco, CA 94016"
141258,USB-C Charging Cable,1,11.95,01/24/22 21:03,"691 Church St, Portland, OR 97035"
141259,Wired Headphones,1,11.99,01/14/22 12:52,"57 11th St, San Francisco, CA 94016"
141260,AAA Batteries (4-pack),1,2.99,01/02/22 22:53,"927 Hill St, San Francisco, CA 94016"
141261,Apple Airpods Headphones,1,150.0,01/09/22 14:02,"134 1st St, San Francisco, CA 94016"
141262,Wired Headphones,1,11.99,01/08/22 16:59,"554 Walnut St, Dallas, TX 75001"
141263,USB-C Charging Cable,1,11.95,01/20/22 18:23,"860 12th St, Atlanta, GA 30301"
141264,Wired Headphones,1,11.99,01/20/22 22:48,"902 Chestnut St, San Francisco, CA 94016"
141265,Lightning Charging Cable,1,14.95,01/18/22 13:39,"512 Church St, Boston, MA 02215"
141266,Apple Airpods Headphones,1,150.0,01/03/22 23:20,"917 Park St, Los Angeles, CA 90001"
141267,USB-C Charging Cable,1,11.95,01/19/22 20:00,"910 Spruce St, San Francisco, CA 94016"
141268,20in Monitor,1,109.99,01/10/22 00:54,"626 6th St, Los Angeles, CA 90001"
141269,AA Batteries (4-pack),1,3.84,01/12/22 08:24,"836 Lake St, Portland, ME 04101"
141270,Lightning Charging Cable,1,14.95,01/17/22 13:08,"708 Jefferson St, San Francisco, CA 94016"
141271,ThinkPad Laptop,1,999.99,01/29/22 10:23,"59 14th St, New York City, NY 10001"
141272,Apple Airpods Headphones,1,150.0,01/22/22 10:28,"550 6th St, Dallas, TX 75001"
141273,Apple Airpods Headphones,1,150.0,01/23/22 06:15,"705 Jefferson St, San Francisco, CA 94016"
141274,AAA Batteries (4-pack),1,2.99,01/04/22 11:20,"689 Lakeview St, Boston, MA 02215"
141275,Lightning Charging Cable,2,14.95,01/07/22 22:41,"598 River St, Atlanta, GA 30301"
141276,Lightning Charging Cable,1,14.95,01/08/22 20:51,"294 5th St, Los Angeles, CA 90001"
141277,USB-C Charging Cable,1,11.95,01/22/22 20:23,"471 14th St, Austin, TX 73301"
141278,Flatscreen TV,1,300.0,01/19/22 11:21,"304 Lincoln St, San Francisco, CA 94016"
141279,Lightning Charging Cable,1,14.95,01/07/22 20:55,"246 Wilson St, Los Angeles, CA 90001"
141280,34in Ultrawide Monitor,1,379.99,01/24/22 18:40,"91 5th St, Portland, OR 97035"
141281,iPhone,1,700.0,01/28/22 14:18,"233 12th St, Portland, OR 97035"
141282,27in FHD Monitor,1,149.99,01/05/22 20:55,"827 Willow St, Seattle, WA 98101"
141283,USB-C Charging Cable,1,11.95,01/17/22 22:53,"487 Cherry St, New York City, NY 10001"
141284,Vareebadd Phone,1,400.0,01/26/22 22:15,"394 Elm St, Boston, MA 02215"
141285,27in 4K Gaming Monitor,1,389.99,01/12/22 22:48,"727 5th St, Dallas, TX 75001"
141286,Wired Headphones,1,11.99,01/06/22 13:43,"991 4th St, Dallas, TX 75001"
141287,AA Batteries (4-pack),1,3.84,01/11/22 11:05,"660 Maple St, Portland, OR 97035"
141288,Apple Airpods Headphones,1,150.0,01/05/22 15:06,"817 Highland St, Boston, MA 02215"
141289,USB-C Charging Cable,1,11.95,01/03/22 15:55,"653 Madison St, Dallas, TX 75001"
141290,AA Batteries (4-pack),6,3.84,01/15/22 17:09,"673 West St, Austin, TX 73301"
141291,Wired Headphones,1,11.99,01/18/22 20:26,"319 Wilson St, San Francisco, CA 94016"
141292,34in Ultrawide Monitor,1,379.99,01/05/22 14:25,"252 4th St, Seattle, WA 98101"
141293,AAA Batteries (4-pack),1,2.99,01/20/22 10:46,"280 6th St, Boston, MA 02215"
141294,Lightning Charging Cable,1,14.95,01/25/22 11:57,"4 Jefferson St, Dallas, TX 75001"
