Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
199726,Wired Headphones,1,11.99,07/30/22 12:58,"120 Jackson St, Atlanta, GA 30301"
199727,Apple Airpods Headphones,1,150.0,07/15/22 00:02,"443 Center St, San Francisco, CA 94016"
199728,AA Batteries (4-pack),1,3.84,07/02/22 22:02,"365 Madison St, San Francisco, CA 94016"
199729,ThinkPad Laptop,1,999.99,07/17/22 14:11,"542 5th St, New York City, NY 10001"
199730,AA Batteries (4-pack),2,3.84,07/18/22 12:35,"495 Madison St, Boston, MA 02215"
199731,Bose SoundSport Headphones,1,99.99,07/27/22 12:08,"811 Pine St, Dallas, TX 75001"
199732,AAA Batteries (4-pack),2,2.99,07/19/22 10:34,"836 5th St, Los Angeles, CA 90001"
199733,Apple Airpods Headphones,1,150.0,07/05/22 11:56,"487 Park St, Dallas, TX 75001"
199734,AAA Batteries (4-pack),3,2.99,07/31/22 11:07,"997 Park St, San Francisco, CA 94016"
199735,Bose SoundSport Headphones,1,99.99,07/30/22 13:07,"214 Lake St, San Francisco, CA 94016"
199736,Apple Airpods Headphones,1,150.0,07/22/22 21:32,"93 Hickory St, Seattle, WA 98101"
199737,Apple Airpods Headphones,1,150.0,07/14/22 21:44,"768 Elm St, Los Angeles, CA 90001"
199738,Flatscreen TV,1,300.0,07/04/22 06:07,"197 Adams St, Los Angeles, CA 90001"
199739,Lightning Charging Cable,1,14.95,07/13/22 07:28,"488 Wilson St, Dallas, TX 75001"
199740,Lightning Charging Cable,1,14.95,07/30/22 09:54,"733 Madison St, San Francisco, CA 94016"
199741,ThinkPad Laptop,1,999.99,07/20/22 20:05,"59 Jefferson St, Dallas, TX 75001"
199742,Bose SoundSport Headphones,1,99.99,07/11/22 21:03,"287 8th St, San Francisco, CA 94016"
199743,Bose SoundSport Headphones,1,99.99,07/26/22 12:23,"641 11th St, Dallas, TX 75001"
199744,27in 4K Gaming Monitor,1,389.99,07/26/22 18:58,"982 Church St, San Francisco, CA 94016"
199745,Wired Headphones,1,11.99,07/29/22 14:03,"889 Hill St, San Francisco, CA 94016"
199746,AA Batteries (4-pack),1,3.84,07/01/22 16:25,"899 Chestnut St, San Francisco, CA 94016"
199747,Wired Headphones,1,11.99,07/16/22 09:25,"689 Pine St, Seattle, WA 98101"
