Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
194269,USB-C Charging Cable,1,11.95,06/20/22 20:07,"351 13th St, Dallas, TX 75001"
194270,27in 4K Gaming Monitor,1,389.99,06/22/22 21:19,"424 South St, San Francisco, CA 94016"
194271,iPhone,1,700.0,06/19/22 01:24,"953 Park St, Portland, OR 97035"
194271,Lightning Charging Cable,1,14.95,06/19/22 01:24,"953 Park St, Portland, OR 97035"
194272,ThinkPad Laptop,1,999.99,06/05/22 19:27,"298 Wilson St, Boston, MA 02215"
194273,USB-C Charging Cable,1,11.95,06/03/22 15:48,"25 Church St, Dallas, TX 75001"
194274,Lightning Charging Cable,1,14.95,06/23/22 13:51,"649 9th St, Los Angeles, CA 90001"
194275,Lightning Charging Cable,1,14.95,06/24/22 14:15,"119 Adams St, Dallas, TX 75001"
194276,AAA Batteries (4-pack),1,2.99,06/20/22 19:15,"646 River St, Atlanta, GA 30301"
194277,Lightning Charging Cable,1,14.95,06/05/22 02:09,"922 Hill St, Los Angeles, CA 90001"
194278,AAA Batteries (4-pack),1,2.99,06/06/22 21:05,"292 Pine St, Los Angeles, CA 90001"
194279,Lightning Charging Cable,1,14.95,06/06/22 22:00,"391 13th St, San Francisco, CA 94016"
194280,Wired Headphones,1,11.99,06/08/22 16:52,"192 Main St, Austin, TX 73301"
194281,USB-C Charging Cable,1,11.95,06/03/22 13:22,"444 Lakeview St, Boston, MA 02215"
194282,AAA Batteries (4-pack),1,2.99,06/28/22 10:43,"845 Maple St, San Francisco, CA 94016"
194283,AAA Batteries (4-pack),1,2.99,06/25/22 20:27,"827 Pine St, Atlanta, GA 30301"
194284,Apple Airpods Headphones,1,150.0,06/16/22 11:51,"517 12th St, Los Angeles, CA 90001"
194285,Wired Headphones,1,11.99,06/23/22 08:41,"793 14th St, Los Angeles, CA 90001"
194286,Lightning Charging Cable,1,14.95,06/21/22 09:34,"724 Park St, Atlanta, GA 30301"
194287,iPhone,1,700.0,06/04/22 10:53,"32 Lincoln St, Los Angeles, CA 90001"
194287,Lightning Charging Cable,1,14.95,06/04/22 10:53,"32 Lincoln St, Los Angeles, CA 90001"
194288,27in FHD Monitor,1,149.99,06/10/22 21:26,"155 6th St, Atlanta, GA 30301"
194289,AA Batteries (4-pack),1,3.84,06/05/22 18:43,"943 Lakeview St, Los Angeles, CA 90001"
194290,USB-C Charging Cable,1,11.95,06/07/22 21:09,"917 12th St, Los Angeles, CA 90001"
194291,Bose SoundSport Headphones,1,99.99,06/15/22 20:39,"670 Hickory St, San Francisco, CA 94016"
194292,AAA Batteries (4-pack),1,2.99,06/13/22 14:00,"22 Cherry St, San Francisco, CA 94016"
194293,Bose SoundSport Headphones,1,99.99,06/12/22 10:22,"543 North St, San Francisco, CA 94016"
194294,27in FHD Monitor,1,149.99,06/24/22 09:30,"445 6th St, Boston, MA 02215"
194295,USB-C Charging Cable,1,11.95,06/30/22 21:22,"432 8th St, Los Angeles, CA 90001"
194296,Apple Airpods Headphones,1,150.0,06/08/22 14:38,"582 11th St, Los Angeles, CA 90001"
194297,ThinkPad Laptop,1,999.99,06/20/22 12:51,"832 7th St, Austin, TX 73301"
194298,AAA Batteries (4-pack),1,2.99,06/23/22 20:57,"5 14th St, Boston, MA 02215"
194299,27in 4K Gaming Monitor,1,389.99,06/01/22 13:01,"991 10th St, Dallas, TX 75001"
194300,Wired Headphones,1,11.99,06/09/22 10:17,"8 Elm St, Atlanta, GA 30301"
194301,Lightning Charging Cable,1,14.95,06/23/22 14:41,"217 4th St, Atlanta, GA 30301"
194302,AAA Batteries (4-pack),3,2.99,06/28/22 22:46,"145 South St, Dallas, TX 75001"
194303,AA Batteries (4-pack),2,3.84,06/19/22 18:32,"905 Jefferson St, San Francisco, CA 94016"
194304,27in 4K Gaming Monitor,1,389.99,06/01/22 21:03,"606 Walnut St, Austin, TX 73301"
194305,34in Ultrawide Monitor,1,379.99,06/17/22 08:30,"693 Madison St, New York City, NY 10001"
194306,AA Batteries (4-pack),1,3.84,06/09/22 14:18,"30 Lakeview St, San Francisco, CA 94016"
194307,Apple Airpods Headphones,1,150.0,06/04/22 09:44,"193 Lincoln St, San Francisco, CA 94016"
194308,27in 4K Gaming Monitor,1,389.99,06/24/22 17:05,"664 Lake St, San Francisco, CA 94016"
194309,AA Batteries (4-pack),3,3.84,06/29/22 17:10,"245 Elm St, San Francisco, CA 94016"
194310,AA Batteries (4-pack),1,3.84,06/20/22 18:54,"701 Cherry St, Austin, TX 73301"
194311,iPhone,1,700.0,06/02/22 20:57,"256 10th St, San Francisco, CA 94016"
194311,Lightning Charging Cable,1,14.95,06/02/22 20:57,"256 10th St, San Francisco, CA 94016"
194312,AAA Batteries (4-pack),1,2.99,06/04/22 12:04,"437 Chestnut St, San Francisco, CA 94016"
194313,AA Batteries (4-pack),2,3.84,06/03/22 10:53,"845 River St, San Francisco, CA 94016"
194314,Lightning Charging Cable,1,14.95,06/09/22 20:53,"283 8th St, Los Angeles, CA 90001"
194315,34in Ultrawide Monitor,1,379.99,06/22/22 11:20,"431 Hill St, Los Angeles, CA 90001"
194316,27in FHD Monitor,1,149.99,06/06/22 11:32,"869 Pine St, Los Angeles, CA 90001"
194317,USB-C Charging Cable,1,11.95,06/28/22 15:55,"809 Cherry St, Los Angeles, CA 90001"
194318,iPhone,1,700.0,06/13/22 19:42,"794 Maple St, San Francisco, CA 94016"
194319,Bose SoundSport Headphones,1,99.99,06/04/22 10:14,"589 Johnson St, San Francisco, CA 94016"
194320,Lightning Charging Cable,1,14.95,06/01/22 12:24,"267 Walnut St, San Francisco, CA 94016"
194321,Lightning Charging Cable,1,14.95,06/25/22 08:56,"2 Church St, Seattle, WA 98101"
194322,Wired Headphones,1,11.99,06/15/22 15:09,"441 7th St, Atlanta, GA 30301"
194323,AA Batteries (4-pack),1,3.84,06/18/22 07:20,"264 Washington St, Atlanta, GA 30301"
194324,20in Monitor,1,109.99,06/19/22 09:19,"380 7th St, Boston, MA 02215"
194325,AA Batteries (4-pack),2,3.84,06/23/22 18:57,"111 2nd St, Boston, MA 02215"
194326,USB-C Charging Cable,1,11.95,06/07/22 13:20,"711 Lakeview St, New York City, NY 10001"
194327,AAA Batteries (4-pack),1,2.99,06/20/22 15:10,"262 2nd St, Los Angeles, CA 90001"
194328,ThinkPad Laptop,1,999.99,06/05/22 12:15,"540 12th St, Dallas, TX 75001"
194329,AAA Batteries (4-pack),1,2.99,06/06/22 11:45,"815 5th St, Seattle, WA 98101"
194330,27in 4K Gaming Monitor,1,389.99,06/03/22 12:10,"955 Cherry St, San Francisco, CA 94016"
194331,Bose SoundSport Headphones,1,99.99,06/08/22 17:41,"52 Johnson St, Portland, OR 97035"
194332,Vareebadd Phone,1,400.0,06/12/22 15:47,"288 Lake St, Boston, MA 02215"
194333,AAA Batteries (4-pack),1,2.99,06/13/22 21:53,"995 River St, Los Angeles, CA 90001"
194333,AAA Batteries (4-pack),1,2.99,06/13/22 21:53,"995 River St, Los Angeles, CA 90001"
194334,Wired Headphones,1,11.99,06/16/22 09:01,"540 Forest St, Austin, TX 73301"
194335,Vareebadd Phone,1,400.0,06/09/22 09:17,"904 Walnut St, San Francisco, CA 94016"
194335,USB-C Charging Cable,1,11.95,06/09/22 09:17,"904 Walnut St, San Francisco, CA 94016"
194336,iPhone,1,700.0,06/07/22 19:32,"390 Highland St, Los Angeles, CA 90001"
194337,USB-C Charging Cable,1,11.95,06/23/22 16:29,"231 Meadow St, New York City, NY 10001"
194338,Apple Airpods Headphones,1,150.0,06/03/22 08:48,"191 Lakeview St, San Francisco, CA 94016"
194339,iPhone,1,700.0,06/20/22 19:38,"394 1st St, Austin, TX 73301"
,,,,,
194340,Bose SoundSport Headphones,1,99.99,06/10/22 17:05,"188 Park St, Seattle, WA 98101"
194341,AAA Batteries (4-pack),1,2.99,06/04/22 17:10,"304 Johnson St, Seattle, WA 98101"
194342,Vareebadd Phone,1,400,06/05/22 09:42,"843 10th St, San Francisco, CA 94016"
194343,USB-C Charging Cable,1,11.95,06/25/22 14:44,"289 13th St, Atlanta, GA 30301"
194344,27in 4K Gaming Monitor,1,389.99,06/08/22 19:53,"930 Cherry St, San Francisco, CA 94016"
194345,AA Batteries (4-pack),1,3.84,06/22/22 13:56,"366 Lincoln St, Los Angeles, CA 90001"
194346,Apple Airpods Headphones,1,150,06/30/22 02:19,"71 Wilson St, Los Angeles, CA 90001"
194347,AAA Batteries (4-pack),1,2.99,06/05/22 21:54,"670 Washington St, Atlanta, GA 30301"
194348,AA Batteries (4-pack),1,3.84,06/06/22 21:10,"793 13th St, Los Angeles, CA 90001"
194349,Lightning Charging Cable,1,14.95,06/22/22 15:00,"976 Park St, San Francisco, CA 94016"
194350,Apple Airpods Headphones,1,150,06/01/22 09:52,"507 7th St, Atlanta, GA 30301"
194351,Lightning Charging Cable,1,14.95,06/15/22 11:28,"369 Pine St, New York City, NY 10001"
194351,AAA Batteries (4-pack),6,2.99,06/15/22 11:28,"369 Pine St, New York City, NY 10001"
194352,27in FHD Monitor,1,149.99,06/18/22 18:41,"262 Dogwood St, San Francisco, CA 94016"
194353,Lightning Charging Cable,1,14.95,06/04/22 17:01,"821 12th St, San Francisco, CA 94016"
194354,AA Batteries (4-pack),1,3.84,06/23/22 14:30,"102 West St, Los Angeles, CA 90001"
194355,USB-C Charging Cable,1,11.95,06/01/22 16:20,"467 11th St, Austin, TX 73301"
194356,Lightning Charging Cable,1,14.95,06/11/22 10:46,"799 River St, Dallas, TX 75001"
194357,Google Phone,1,600,06/11/22 12:42,"355 Church St, Austin, TX 73301"
194358,Flatscreen TV,1,300,06/24/22 12:50,"603 Jefferson St, Boston, MA 02215"
194359,Flatscreen TV,1,300,06/15/22 00:04,"598 Elm St, San Francisco, CA 94016"
194360,Bose SoundSport Headphones,1,99.99,06/05/22 19:12,"677 Walnut St, Los Angeles, CA 90001"
194361,AAA Batteries (4-pack),1,2.99,06/26/22 11:06,"746 11th St, Boston, MA 02215"
194362,AAA Batteries (4-pack),1,2.99,06/30/22 19:32,"248 Forest St, San Francisco, CA 94016"
194363,Wired Headphones,1,11.99,06/29/22 14:41,"160 1st St, San Francisco, CA 94016"
194364,Bose SoundSport Headphones,1,99.99,06/20/22 15:10,"119 Hill St, Los Angeles, CA 90001"
194365,Apple Airpods Headphones,1,150,06/07/22 13:39,"171 Highland St, New York City, NY 10001"
194366,Bose SoundSport Headphones,1,99.99,06/15/22 10:04,"527 Main St, Seattle, WA 98101"
194367,AAA Batteries (4-pack),1,2.99,06/01/22 09:34,"33 Cedar St, Atlanta, GA 30301"
194368,AAA Batteries (4-pack),2,2.99,06/20/22 13:37,"412 Meadow St, San Francisco, CA 94016"
194369,Vareebadd Phone,1,400,06/02/22 08:30,"417 Hill St, San Francisco, CA 94016"
194370,Lightning Charging Cable,1,14.95,06/11/22 10:02,"880 Hickory St, San Francisco, CA 94016"
194371,ThinkPad Laptop,1,999.99,06/19/22 09:28,"554 Walnut St, San Francisco, CA 94016"
194372,Bose SoundSport Headphones,1,99.99,06/29/22 19:46,"754 Chestnut St, Seattle, WA 98101"
194373,Lightning Charging Cable,1,14.95,06/20/22 16:31,"698 Pine St, Portland, OR 97035"
194374,USB-C Charging Cable,1,11.95,06/29/22 06:49,"710 Hickory St, San Francisco, CA 94016"
194375,iPhone,1,700,06/22/22 13:21,"677 Washington St, Los Angeles, CA 90001"
194376,Apple Airpods Headphones,1,150,06/24/22 13:36,"630 13th St, San Francisco, CA 94016"
194377,AA Batteries (4-pack),4,3.84,06/03/22 13:17,"589 River St, Atlanta, GA 30301"
194378,Apple Airpods Headphones,1,150,06/11/22 10:52,"879 Highland St, San Francisco, CA 94016"
194379,iPhone,1,700,06/06/22 12:17,"764 North St, Portland, OR 97035"
194379,Lightning Charging Cable,1,14.95,06/06/22 12:17,"764 North St, Portland, OR 97035"
194380,AA Batteries (4-pack),3,3.84,06/25/22 15:59,"442 Pine St, Portland, OR 97035"
194381,27in 4K Gaming Monitor,1,389.99,06/15/22 07:05,"731 6th St, Boston, MA 02215"
194382,Wired Headphones,2,11.99,06/21/22 10:17,"259 Sunset St, Atlanta, GA 30301"
194383,Wired Headphones,1,11.99,06/01/22 19:50,"534 5th St, Atlanta, GA 30301"
194384,Lightning Charging Cable,1,14.95,06/30/22 15:29,"159 12th St, San Francisco, CA 94016"
194385,27in FHD Monitor,1,149.99,06/24/22 21:46,"212 14th St, Seattle, WA 98101"
194385,Lightning Charging Cable,1,14.95,06/24/22 21:46,"212 14th St, Seattle, WA 98101"
194386,AAA Batteries (4-pack),1,2.99,06/04/22 11:13,"954 2nd St, New York City, NY 10001"
194387,AA Batteries (4-pack),2,3.84,06/21/22 12:08,"559 Pine St, Portland, ME 04101"
194388,Wired Headphones,1,11.99,06/23/22 20:17,"377 Church St, Boston, MA 02215"
194389,iPhone,1,700,06/14/22 16:20,"543 Meadow St, Portland, OR 97035"
194390,USB-C Charging Cable,1,11.95,06/13/22 09:33,"324 Madison St, Seattle, WA 98101"
194391,AAA Batteries (4-pack),1,2.99,06/05/22 20:47,"730 11th St, Boston, MA 02215"
194392,AA Batteries (4-pack),1,3.84,06/04/22 14:17,"670 Lincoln St, San Francisco, CA 94016"
194393,Wired Headphones,1,11.99,06/30/22 15:17,"30 Willow St, Dallas, TX 75001"
194394,Bose SoundSport Headphones,1,99.99,06/27/22 15:03,"839 Hill St, New York City, NY 10001"
194395,Apple Airpods Headphones,1,150,06/06/22 09:14,"500 Church St, San Francisco, CA 94016"
194396,Lightning Charging Cable,1,14.95,06/10/22 20:17,"181 West St, Portland, ME 04101"
194397,Google Phone,1,600,06/25/22 10:56,"319 Lakeview St, Seattle, WA 98101"
194398,AAA Batteries (4-pack),2,2.99,06/12/22 18:04,"962 North St, San Francisco, CA 94016"
194399,AA Batteries (4-pack),1,3.84,06/07/22 21:39,"197 Maple St, San Francisco, CA 94016"
194400,20in Monitor,1,109.99,06/13/22 08:23,"427 Park St, Los Angeles, CA 90001"
194401,27in 4K Gaming Monitor,1,389.99,06/26/22 09:19,"582 14th St, New York City, NY 10001"
194402,Lightning Charging Cable,1,14.95,06/26/22 20:46,"527 Elm St, New York City, NY 10001"
194403,Apple Airpods Headphones,1,150,06/29/22 15:26,"433 Walnut St, Dallas, TX 75001"
194404,Bose SoundSport Headphones,1,99.99,06/29/22 08:23,"358 7th St, Atlanta, GA 30301"
194405,AA Batteries (4-pack),1,3.84,06/17/22 09:25,"98 Wilson St, Boston, MA 02215"
194406,Lightning Charging Cable,1,14.95,06/12/22 17:27,"810 Center St, San Francisco, CA 94016"
194407,Wired Headphones,1,11.99,06/27/22 21:02,"447 Forest St, Portland, OR 97035"
194408,Wired Headphones,1,11.99,06/30/22 10:57,"428 Willow St, Dallas, TX 75001"
194408,Wired Headphones,1,11.99,06/30/22 10:57,"428 Willow St, Dallas, TX 75001"
194409,AAA Batteries (4-pack),2,2.99,06/29/22 13:52,"377 9th St, San Francisco, CA 94016"
194410,Bose SoundSport Headphones,1,99.99,06/22/22 10:23,"728 Chestnut St, Los Angeles, CA 90001"
194411,USB-C Charging Cable,1,11.95,06/26/22 21:15,"236 Willow St, San Francisco, CA 94016"
194412,Wired Headphones,1,11.99,06/16/22 17:15,"21 13th St, Atlanta, GA 30301"
194413,iPhone,1,700,06/06/22 21:00,"503 Cherry St, Los Angeles, CA 90001"
194414,34in Ultrawide Monitor,1,379.99,06/24/22 14:21,"554 Cedar St, Los Angeles, CA 90001"
194415,AA Batteries (4-pack),1,3.84,06/30/22 21:17,"625 South St, San Francisco, CA 94016"
194416,USB-C Charging Cable,1,11.95,06/22/22 10:33,"497 Maple St, Austin, TX 73301"
194417,AAA Batteries (4-pack),1,2.99,06/17/22 00:43,"362 2nd St, San Francisco, CA 94016"
194418,USB-C Charging Cable,1,11.95,06/02/22 13:51,"830 Center St, San Francisco, CA 94016"
194419,ThinkPad Laptop,1,999.99,06/07/22 06:21,"199 North St, San Francisco, CA 94016"
194420,USB-C Charging Cable,1,11.95,06/07/22 19:55,"910 8th St, San Francisco, CA 94016"
194421,27in 4K Gaming Monitor,1,389.99,06/28/22 11:45,"226 Walnut St, San Francisco, CA 94016"
194422,AA Batteries (4-pack),1,3.84,06/05/22 13:03,"933 14th St, Los Angeles, CA 90001"
194423,AAA Batteries (4-pack),1,2.99,06/11/22 17:46,"703 Church St, Los Angeles, CA 90001"
194424,AAA Batteries (4-pack),1,2.99,06/29/22 11:21,"266 9th St, San Francisco, CA 94016"
194425,AAA Batteries (4-pack),5,2.99,06/23/22 23:58,"624 Meadow St, San Francisco, CA 94016"
194426,ThinkPad Laptop,1,999.99,06/01/22 11:25,"672 2nd St, San Francisco, CA 94016"
194427,ThinkPad Laptop,1,999.99,06/01/22 13:19,"290 Pine St, Boston, MA 02215"
194428,27in 4K Gaming Monitor,1,389.99,06/25/22 21:44,"96 13th St, Seattle, WA 98101"
194429,AAA Batteries (4-pack),1,2.99,06/05/22 13:44,"295 11th St, Los Angeles, CA 90001"
194429,Bose SoundSport Headphones,1,99.99,06/05/22 13:44,"295 11th St, Los Angeles, CA 90001"
194430,34in Ultrawide Monitor,1,379.99,06/29/22 12:50,"789 Hickory St, San Francisco, CA 94016"
194431,AAA Batteries (4-pack),1,2.99,06/25/22 06:44,"775 11th St, San Francisco, CA 94016"
194432,iPhone,1,700,06/21/22 19:53,"178 Lakeview St, San Francisco, CA 94016"
194433,USB-C Charging Cable,1,11.95,06/27/22 16:54,"386 Center St, San Francisco, CA 94016"
194434,Wired Headphones,1,11.99,06/11/22 23:15,"231 Adams St, San Francisco, CA 94016"
194435,Wired Headphones,1,11.99,06/01/22 14:15,"565 Maple St, New York City, NY 10001"
194436,Lightning Charging Cable,1,14.95,06/16/22 11:37,"607 West St, Seattle, WA 98101"
194437,AA Batteries (4-pack),1,3.84,06/24/22 14:15,"600 Chestnut St, Austin, TX 73301"
194438,34in Ultrawide Monitor,1,379.99,06/08/22 10:27,"328 12th St, New York City, NY 10001"
194439,Wired Headphones,1,11.99,06/26/22 14:03,"548 7th St, San Francisco, CA 94016"
194440,USB-C Charging Cable,1,11.95,06/06/22 19:59,"678 Wilson St, New York City, NY 10001"
194441,USB-C Charging Cable,1,11.95,06/19/22 00:10,"201 Park St, Los Angeles, CA 90001"
194442,Lightning Charging Cable,1,14.95,06/30/22 18:26,"228 Walnut St, San Francisco, CA 94016"
194443,Lightning Charging Cable,1,14.95,06/15/22 17:15,"857 Washington St, Austin, TX 73301"
194444,AAA Batteries (4-pack),1,2.99,06/01/22 22:19,"297 River St, Austin, TX 73301"
194445,iPhone,1,700,06/12/22 11:46,"648 Willow St, Atlanta, GA 30301"
194446,USB-C Charging Cable,1,11.95,06/06/22 10:18,"890 Walnut St, Los Angeles, CA 90001"
194447,27in 4K Gaming Monitor,1,389.99,06/02/22 18:00,"585 Wilson St, San Francisco, CA 94016"
194448,iPhone,1,700,06/22/22 19:49,"329 Willow St, Dallas, TX 75001"
194448,20in Monitor,1,109.99,06/22/22 19:49,"329 Willow St, Dallas, TX 75001"
194449,ThinkPad Laptop,1,999.99,06/23/22 15:09,"188 Main St, New York City, NY 10001"
194450,USB-C Charging Cable,1,11.95,06/02/22 15:41,"484 Forest St, Los Angeles, CA 90001"
194451,Lightning Charging Cable,1,14.95,06/03/22 12:43,"560 4th St, Portland, OR 97035"
194452,27in FHD Monitor,1,149.99,06/14/22 09:13,"572 Church St, San Francisco, CA 94016"
194453,27in FHD Monitor,1,149.99,06/10/22 22:57,"435 Ridge St, San Francisco, CA 94016"
194454,USB-C Charging Cable,1,11.95,06/02/22 18:02,"236 6th St, San Francisco, CA 94016"
194455,Macbook Pro Laptop,1,1700,06/11/22 14:37,"233 Wilson St, Boston, MA 02215"
194456,ThinkPad Laptop,1,999.99,06/01/22 09:20,"24 8th St, Los Angeles, CA 90001"
194457,Lightning Charging Cable,1,14.95,06/23/22 13:25,"829 Dogwood St, Boston, MA 02215"
194458,Bose SoundSport Headphones,1,99.99,06/21/22 14:51,"387 Chestnut St, San Francisco, CA 94016"
194459,AA Batteries (4-pack),1,3.84,06/03/22 19:37,"666 Center St, Seattle, WA 98101"
194460,Wired Headphones,1,11.99,06/25/22 12:23,"822 Washington St, New York City, NY 10001"
194461,AAA Batteries (4-pack),1,2.99,06/09/22 22:13,"180 Chestnut St, New York City, NY 10001"
194462,AA Batteries (4-pack),1,3.84,06/04/22 07:24,"450 Highland St, San Francisco, CA 94016"
194463,Wired Headphones,1,11.99,06/06/22 14:21,"857 10th St, New York City, NY 10001"
194464,Bose SoundSport Headphones,1,99.99,06/17/22 20:42,"769 Johnson St, Los Angeles, CA 90001"
194465,ThinkPad Laptop,1,999.99,06/03/22 19:13,"552 Johnson St, Dallas, TX 75001"
194466,iPhone,1,700,06/22/22 20:48,"619 Maple St, New York City, NY 10001"
194467,Lightning Charging Cable,1,14.95,06/27/22 00:11,"348 Elm St, San Francisco, CA 94016"
194468,AAA Batteries (4-pack),2,2.99,06/22/22 15:55,"175 Walnut St, New York City, NY 10001"
194469,Lightning Charging Cable,1,14.95,06/23/22 03:14,"795 Center St, Seattle, WA 98101"
194470,Lightning Charging Cable,1,14.95,06/16/22 13:55,"178 South St, New York City, NY 10001"
194471,USB-C Charging Cable,1,11.95,06/17/22 17:17,"670 6th St, San Francisco, CA 94016"
194472,Wired Headphones,1,11.99,06/25/22 01:16,"889 Chestnut St, Seattle, WA 98101"
194473,AA Batteries (4-pack),1,3.84,06/24/22 06:48,"348 2nd St, Los Angeles, CA 90001"
194474,Bose SoundSport Headphones,1,99.99,06/14/22 21:09,"958 5th St, Portland, OR 97035"
194475,AA Batteries (4-pack),1,3.84,06/26/22 13:30,"813 1st St, Los Angeles, CA 90001"
194476,AA Batteries (4-pack),1,3.84,06/11/22 13:17,"15 10th St, New York City, NY 10001"
194477,iPhone,1,700,06/20/22 08:58,"330 Sunset St, Boston, MA 02215"
194477,Apple Airpods Headphones,1,150,06/20/22 08:58,"330 Sunset St, Boston, MA 02215"
194478,27in FHD Monitor,1,149.99,06/23/22 18:35,"603 Forest St, Seattle, WA 98101"
194479,27in FHD Monitor,1,149.99,06/24/22 16:46,"455 13th St, Austin, TX 73301"
194480,AAA Batteries (4-pack),1,2.99,06/02/22 16:01,"90 Hickory St, Portland, OR 97035"
