Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
179010,AA Batteries (4-pack),1,3.84,05/18/22 00:23,"112 Cherry St, Dallas, TX 75001"
179011,AA Batteries (4-pack),1,3.84,05/12/22 11:01,"191 Chestnut St, New York City, NY 10001"
179012,ThinkPad Laptop,1,999.99,05/21/22 21:15,"527 Main St, Los Angeles, CA 90001"
179013,27in FHD Monitor,1,149.99,05/04/22 08:41,"968 Forest St, New York City, NY 10001"
179014,Lightning Charging Cable,1,14.95,05/02/22 07:21,"106 Elm St, Seattle, WA 98101"
179015,Apple Airpods Headphones,1,150.0,05/09/22 08:24,"422 10th St, New York City, NY 10001"
179016,Apple Airpods Headphones,1,150.0,05/15/22 11:02,"183 Highland St, Los Angeles, CA 90001"
179017,AA Batteries (4-pack),1,3.84,05/31/22 19:31,"617 2nd St, San Francisco, CA 94016"
179018,AA Batteries (4-pack),1,3.84,05/17/22 13:15,"305 Meadow St, Los Angeles, CA 90001"
179019,Lightning Charging Cable,1,14.95,05/14/22 14:15,"455 Hill St, San Francisco, CA 94016"
179020,AA Batteries (4-pack),2,3.84,05/02/22 22:55,"239 9th St, Los Angeles, CA 90001"
179021,Wired Headphones,1,11.99,05/17/22 07:31,"540 Lake St, Portland, OR 97035"
179022,AAA Batteries (4-pack),4,2.99,05/10/22 14:46,"744 Dogwood St, Dallas, TX 75001"
179023,AAA Batteries (4-pack),2,2.99,05/09/22 18:41,"302 Highland St, San Francisco, CA 94016"
179024,AAA Batteries (4-pack),2,2.99,05/16/22 18:07,"249 Washington St, Boston, MA 02215"
179025,Lightning Charging Cable,1,14.95,05/12/22 11:34,"141 Ridge St, Atlanta, GA 30301"
179026,27in 4K Gaming Monitor,1,389.99,05/28/22 17:52,"923 Hill St, Portland, OR 97035"
179027,Flatscreen TV,1,300.0,05/04/22 14:48,"813 Spruce St, New York City, NY 10001"
179028,Bose SoundSport Headphones,1,99.99,05/27/22 06:05,"935 Elm St, Los Angeles, CA 90001"
179029,Apple Airpods Headphones,1,150.0,05/11/22 21:29,"783 Hill St, New York City, NY 10001"
179030,27in 4K Gaming Monitor,1,389.99,05/30/22 22:38,"224 Spruce St, Dallas, TX 75001"
179031,Apple Airpods Headphones,1,150.0,05/28/22 15:10,"117 Main St, Boston, MA 02215"
179032,Bose SoundSport Headphones,2,99.99,05/19/22 12:37,"792 Sunset St, New York City, NY 10001"
179033,20in Monitor,1,109.99,05/10/22 11:27,"593 Center St, New York City, NY 10001"
179034,USB-C Charging Cable,1,11.95,05/29/22 10:26,"764 Elm St, Seattle, WA 98101"
179035,Macbook Pro Laptop,1,1700.0,05/05/22 20:32,"404 South St, San Francisco, CA 94016"
179036,34in Ultrawide Monitor,1,379.99,05/31/22 20:38,"942 Hill St, San Francisco, CA 94016"
179037,Bose SoundSport Headphones,1,99.99,05/19/22 16:40,"370 Lincoln St, Austin, TX 73301"
179038,AAA Batteries (4-pack),2,2.99,05/22/22 16:47,"835 Dogwood St, Atlanta, GA 30301"
179039,AAA Batteries (4-pack),1,2.99,05/13/22 22:50,"422 Johnson St, Boston, MA 02215"
179040,USB-C Charging Cable,1,11.95,05/27/22 13:31,"974 5th St, New York City, NY 10001"
179041,USB-C Charging Cable,1,11.95,05/20/22 11:25,"176 Sunset St, Los Angeles, CA 90001"
179042,Wired Headphones,1,11.99,05/02/22 17:53,"19 Adams St, Los Angeles, CA 90001"
179043,Bose SoundSport Headphones,1,99.99,05/09/22 22:06,"91 Cedar St, New York City, NY 10001"
179044,Lightning Charging Cable,1,14.95,05/14/22 15:18,"896 Center St, New York City, NY 10001"
179045,27in FHD Monitor,1,149.99,05/02/22 19:42,"298 River St, Atlanta, GA 30301"
179045,Bose SoundSport Headphones,1,99.99,05/02/22 19:42,"298 River St, Atlanta, GA 30301"
179046,Lightning Charging Cable,1,14.95,05/14/22 16:01,"399 10th St, Seattle, WA 98101"
179047,20in Monitor,1,109.99,05/31/22 02:43,"383 Center St, San Francisco, CA 94016"
179048,27in 4K Gaming Monitor,1,389.99,05/24/22 18:53,"931 5th St, Los Angeles, CA 90001"
179049,AAA Batteries (4-pack),1,2.99,05/28/22 18:43,"983 Meadow St, San Francisco, CA 94016"
179050,AA Batteries (4-pack),1,3.84,05/31/22 07:42,"331 1st St, Atlanta, GA 30301"
179051,Apple Airpods Headphones,1,150.0,05/21/22 17:09,"454 Lake St, Austin, TX 73301"
179052,AAA Batteries (4-pack),1,2.99,05/28/22 09:13,"653 Sunset St, Portland, OR 97035"
179053,27in 4K Gaming Monitor,1,389.99,05/16/22 08:36,"677 Hill St, New York City, NY 10001"
179054,Wired Headphones,1,11.99,05/12/22 14:05,"632 Meadow St, San Francisco, CA 94016"
179055,Lightning Charging Cable,1,14.95,05/09/22 17:43,"23 Lincoln St, Atlanta, GA 30301"
179056,AA Batteries (4-pack),1,3.84,05/24/22 23:15,"771 Cedar St, San Francisco, CA 94016"
179057,Wired Headphones,1,11.99,05/10/22 23:12,"541 11th St, San Francisco, CA 94016"
179058,Bose SoundSport Headphones,1,99.99,05/30/22 12:57,"872 Madison St, Boston, MA 02215"
179059,Lightning Charging Cable,1,14.95,05/28/22 17:02,"685 10th St, Los Angeles, CA 90001"
179060,27in 4K Gaming Monitor,1,389.99,05/06/22 20:04,"597 Main St, San Francisco, CA 94016"
179061,Lightning Charging Cable,1,14.95,05/09/22 16:39,"355 Johnson St, Atlanta, GA 30301"
179062,Wired Headphones,1,11.99,05/10/22 17:16,"166 9th St, New York City, NY 10001"
179063,Lightning Charging Cable,1,14.95,05/17/22 19:14,"25 Chestnut St, Boston, MA 02215"
179064,Wired Headphones,1,11.99,05/29/22 12:59,"126 Lake St, New York City, NY 10001"
179065,34in Ultrawide Monitor,1,379.99,05/17/22 21:46,"989 Willow St, Dallas, TX 75001"
179066,20in Monitor,1,109.99,05/11/22 19:40,"36 8th St, Seattle, WA 98101"
179067,27in FHD Monitor,1,149.99,05/25/22 10:18,"870 4th St, San Francisco, CA 94016"
179068,Google Phone,1,600.0,05/23/22 09:42,"628 11th St, Los Angeles, CA 90001"
179069,Google Phone,1,600.0,05/30/22 15:53,"505 Lincoln St, San Francisco, CA 94016"
179070,Flatscreen TV,1,300.0,05/11/22 12:33,"510 5th St, Atlanta, GA 30301"
179071,AAA Batteries (4-pack),1,2.99,05/13/22 00:06,"17 Walnut St, Los Angeles, CA 90001"
179072,USB-C Charging Cable,2,11.95,05/25/22 07:12,"306 Adams St, Los Angeles, CA 90001"
179073,USB-C Charging Cable,1,11.95,05/06/22 11:41,"611 14th St, Atlanta, GA 30301"
179074,Wired Headphones,1,11.99,05/01/22 11:45,"542 Chestnut St, Austin, TX 73301"
179075,34in Ultrawide Monitor,1,379.99,05/10/22 12:14,"400 Center St, San Francisco, CA 94016"
179076,AAA Batteries (4-pack),2,2.99,05/19/22 21:26,"958 West St, Los Angeles, CA 90001"
179077,Bose SoundSport Headphones,1,99.99,05/01/22 10:16,"335 Hickory St, San Francisco, CA 94016"
179078,Wired Headphones,1,11.99,05/18/22 17:48,"276 Willow St, San Francisco, CA 94016"
179078,iPhone,1,700.0,05/18/22 17:48,"276 Willow St, San Francisco, CA 94016"
179079,Wired Headphones,2,11.99,05/17/22 14:41,"897 Willow St, San Francisco, CA 94016"
179080,AAA Batteries (4-pack),1,2.99,05/16/22 12:44,"707 8th St, New York City, NY 10001"
179081,27in 4K Gaming Monitor,1,389.99,05/12/22 22:04,"267 Chestnut St, San Francisco, CA 94016"
179082,USB-C Charging Cable,1,11.95,05/24/22 15:08,"174 Walnut St, Atlanta, GA 30301"
179083,LG Washing Machine,1,600.0,05/26/22 13:49,"539 Main St, San Francisco, CA 94016"
179084,AA Batteries (4-pack),1,3.84,05/15/22 12:57,"373 5th St, San Francisco, CA 94016"
179085,USB-C Charging Cable,1,11.95,05/16/22 11:20,"964 Hill St, Atlanta, GA 30301"
179086,USB-C Charging Cable,1,11.95,05/21/22 07:40,"898 Lake St, Seattle, WA 98101"
179087,Apple Airpods Headphones,1,150.0,05/31/22 07:02,"261 5th St, San Francisco, CA 94016"
179088,USB-C Charging Cable,2,11.95,05/28/22 10:47,"303 Meadow St, Boston, MA 02215"
179089,AAA Batteries (4-pack),1,2.99,05/11/22 17:20,"657 1st St, Austin, TX 73301"
179090,Lightning Charging Cable,1,14.95,05/08/22 11:42,"421 Ridge St, San Francisco, CA 94016"
179091,Google Phone,1,600.0,05/15/22 21:01,"472 6th St, Boston, MA 02215"
179092,AA Batteries (4-pack),1,3.84,05/14/22 16:26,"691 Cedar St, Los Angeles, CA 90001"
