Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
247663,Apple Airpods Headphones,1,150.0,11/10/22 15:40,"347 Park St, Austin, TX 73301"
247664,34in Ultrawide Monitor,1,379.99,11/17/22 14:45,"224 North St, New York City, NY 10001"
247665,Apple Airpods Headphones,1,150.0,11/04/22 21:39,"344 Meadow St, Atlanta, GA 30301"
247666,Lightning Charging Cable,1,14.95,11/19/22 12:49,"915 Lake St, Boston, MA 02215"
247667,USB-C Charging Cable,1,11.95,11/08/22 19:50,"189 Jackson St, San Francisco, CA 94016"
247668,USB-C Charging Cable,1,11.95,11/02/22 16:36,"798 5th St, San Francisco, CA 94016"
247669,Lightning Charging Cable,1,14.95,11/30/22 16:49,"337 Highland St, Portland, OR 97035"
247670,USB-C Charging Cable,1,11.95,11/02/22 15:19,"515 Hickory St, New York City, NY 10001"
247671,20in Monitor,1,109.99,11/29/22 13:10,"660 Spruce St, Los Angeles, CA 90001"
247672,AAA Batteries (4-pack),1,2.99,11/11/22 13:37,"296 Lakeview St, Austin, TX 73301"
247673,USB-C Charging Cable,1,11.95,11/29/22 07:27,"668 1st St, San Francisco, CA 94016"
247674,Lightning Charging Cable,1,14.95,11/01/22 19:48,"450 Maple St, Portland, OR 97035"
247675,34in Ultrawide Monitor,1,379.99,11/30/22 13:12,"956 Park St, Los Angeles, CA 90001"
247675,AAA Batteries (4-pack),1,2.99,11/30/22 13:12,"956 Park St, Los Angeles, CA 90001"
247676,Apple Airpods Headphones,1,150.0,11/30/22 12:11,"305 Jefferson St, Los Angeles, CA 90001"
247677,USB-C Charging Cable,1,11.95,11/09/22 19:32,"788 Park St, Boston, MA 02215"
247678,Lightning Charging Cable,1,14.95,11/26/22 11:45,"798 South St, Atlanta, GA 30301"
247679,USB-C Charging Cable,2,11.95,11/05/22 08:05,"994 6th St, San Francisco, CA 94016"
247680,iPhone,1,700.0,11/17/22 01:22,"597 1st St, Dallas, TX 75001"
247681,Bose SoundSport Headphones,1,99.99,11/24/22 22:16,"161 Church St, Boston, MA 02215"
