Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
232484,Apple Airpods Headphones,1,150.0,10/26/22 11:50,"723 Jackson St, Boston, MA 02215"
232485,AA Batteries (4-pack),1,3.84,10/31/22 09:57,"278 Lake St, New York City, NY 10001"
232485,AA Batteries (4-pack),2,3.84,10/31/22 09:57,"278 Lake St, New York City, NY 10001"
232486,USB-C Charging Cable,1,11.95,10/30/22 16:36,"517 Washington St, Los Angeles, CA 90001"
232487,AAA Batteries (4-pack),1,2.99,10/25/22 16:57,"314 Lakeview St, Dallas, TX 75001"
232488,Wired Headphones,1,11.99,10/29/22 22:43,"882 2nd St, New York City, NY 10001"
232489,USB-C Charging Cable,1,11.95,10/23/22 16:24,"734 13th St, Boston, MA 02215"
232490,Lightning Charging Cable,1,14.95,10/18/22 19:53,"960 Highland St, New York City, NY 10001"
232491,Bose SoundSport Headphones,1,99.99,10/02/22 23:27,"358 North St, San Francisco, CA 94016"
232492,Apple Airpods Headphones,1,150.0,10/12/22 09:46,"726 6th St, New York City, NY 10001"
232493,Apple Airpods Headphones,1,150.0,10/23/22 19:01,"495 Forest St, New York City, NY 10001"
232494,Lightning Charging Cable,1,14.95,10/01/22 08:07,"787 Elm St, Seattle, WA 98101"
232495,20in Monitor,1,109.99,10/09/22 00:51,"309 Madison St, Los Angeles, CA 90001"
232496,AAA Batteries (4-pack),3,2.99,10/20/22 23:48,"111 14th St, Seattle, WA 98101"
232497,AAA Batteries (4-pack),2,2.99,10/21/22 18:15,"188 Forest St, Portland, OR 97035"
232498,27in FHD Monitor,1,149.99,10/05/22 10:04,"215 Dogwood St, Los Angeles, CA 90001"
232499,AA Batteries (4-pack),2,3.84,10/05/22 20:00,"439 North St, San Francisco, CA 94016"
232500,USB-C Charging Cable,1,11.95,10/08/22 23:59,"583 Park St, Austin, TX 73301"
232501,Wired Headphones,1,11.99,10/28/22 16:37,"644 7th St, Boston, MA 02215"
232502,USB-C Charging Cable,1,11.95,10/22/22 01:02,"875 Elm St, Boston, MA 02215"
232503,USB-C Charging Cable,1,11.95,10/23/22 13:25,"314 Wilson St, Seattle, WA 98101"
232504,20in Monitor,1,109.99,10/24/22 17:43,"270 River St, Dallas, TX 75001"
232505,Bose SoundSport Headphones,1,99.99,10/15/22 01:49,"610 Spruce St, Los Angeles, CA 90001"
232506,AA Batteries (4-pack),2,3.84,10/29/22 15:31,"406 Spruce St, Portland, OR 97035"
232507,27in FHD Monitor,1,149.99,10/11/22 16:36,"264 4th St, New York City, NY 10001"
232508,Apple Airpods Headphones,1,150.0,10/01/22 07:27,"783 9th St, San Francisco, CA 94016"
232509,Wired Headphones,1,11.99,10/29/22 07:22,"572 1st St, Los Angeles, CA 90001"
232510,Wired Headphones,1,11.99,10/19/22 18:28,"725 Walnut St, Austin, TX 73301"
232511,27in FHD Monitor,1,149.99,10/12/22 19:59,"146 Chestnut St, Los Angeles, CA 90001"
232512,Wired Headphones,1,11.99,10/14/22 13:22,"903 13th St, Portland, OR 97035"
232513,Lightning Charging Cable,2,14.95,10/03/22 22:20,"422 South St, Seattle, WA 98101"
