Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
222610,LG Washing Machine,1,600.0,09/27/22 15:27,"786 Sunset St, Los Angeles, CA 90001"
222611,AA Batteries (4-pack),1,3.84,09/28/22 18:57,"193 6th St, San Francisco, CA 94016"
222612,iPhone,1,700.0,09/14/22 14:24,"942 Lincoln St, Dallas, TX 75001"
222613,Lightning Charging Cable,2,14.95,09/25/22 11:38,"83 Adams St, Dallas, TX 75001"
222614,Bose SoundSport Headphones,1,99.99,09/15/22 09:45,"815 6th St, Boston, MA 02215"
222615,USB-C Charging Cable,1,11.95,09/06/22 14:11,"224 Spruce St, Dallas, TX 75001"
222616,AA Batteries (4-pack),2,3.84,09/21/22 20:59,"587 6th St, Dallas, TX 75001"
222617,AAA Batteries (4-pack),2,2.99,09/29/22 11:10,"656 Ridge St, Portland, OR 97035"
222618,USB-C Charging Cable,1,11.95,09/14/22 15:38,"353 Meadow St, Los Angeles, CA 90001"
222619,USB-C Charging Cable,2,11.95,09/13/22 18:23,"237 Chestnut St, Boston, MA 02215"
222620,27in FHD Monitor,1,149.99,09/13/22 16:26,"195 Jefferson St, San Francisco, CA 94016"
222621,Flatscreen TV,1,300.0,09/03/22 04:12,"462 Lake St, Portland, OR 97035"
222622,Apple Airpods Headphones,1,150.0,09/30/22 12:01,"601 Cedar St, Atlanta, GA 30301"
222623,AAA Batteries (4-pack),1,2.99,09/22/22 10:03,"838 Main St, Boston, MA 02215"
222624,Lightning Charging Cable,1,14.95,09/06/22 05:24,"504 7th St, San Francisco, CA 94016"
222625,USB-C Charging Cable,1,11.95,09/24/22 20:33,"587 Lake St, Atlanta, GA 30301"
222626,AA Batteries (4-pack),1,3.84,09/15/22 04:33,"305 Lincoln St, Los Angeles, CA 90001"
222627,Apple Airpods Headphones,1,150.0,09/25/22 19:31,"85 14th St, New York City, NY 10001"
222628,Wired Headphones,1,11.99,09/23/22 07:13,"446 Lincoln St, San Francisco, CA 94016"
222629,Lightning Charging Cable,1,14.95,09/09/22 22:17,"872 1st St, Los Angeles, CA 90001"
222630,USB-C Charging Cable,1,11.95,09/24/22 14:46,"473 Church St, New York City, NY 10001"
222631,27in FHD Monitor,1,149.99,09/14/22 07:12,"14 Dogwood St, New York City, NY 10001"
222632,LG Washing Machine,1,600.0,09/07/22 19:12,"889 4th St, Los Angeles, CA 90001"
222632,AAA Batteries (4-pack),1,2.99,09/07/22 19:12,"889 4th St, Los Angeles, CA 90001"
222633,AAA Batteries (4-pack),1,2.99,09/24/22 17:18,"731 11th St, Dallas, TX 75001"
222634,Google Phone,1,600.0,09/16/22 10:11,"419 Jackson St, Boston, MA 02215"
222635,27in FHD Monitor,1,149.99,09/04/22 21:40,"643 Lincoln St, Los Angeles, CA 90001"
222636,AAA Batteries (4-pack),1,2.99,09/01/22 15:04,"930 Forest St, Boston, MA 02215"
222637,AA Batteries (4-pack),1,3.84,09/16/22 12:04,"568 6th St, New York City, NY 10001"
222638,Google Phone,1,600.0,09/11/22 19:11,"552 14th St, Atlanta, GA 30301"
222639,Wired Headphones,1,11.99,09/27/22 13:07,"906 Maple St, San Francisco, CA 94016"
222640,Bose SoundSport Headphones,1,99.99,09/14/22 17:39,"923 10th St, Boston, MA 02215"
222641,AAA Batteries (4-pack),4,2.99,09/27/22 10:53,"220 Pine St, Atlanta, GA 30301"
222642,Bose SoundSport Headphones,1,99.99,09/15/22 22:36,"93 7th St, Seattle, WA 98101"
222643,USB-C Charging Cable,1,11.95,09/09/22 16:08,"260 Adams St, New York City, NY 10001"
222644,Macbook Pro Laptop,1,1700.0,09/28/22 09:54,"680 Ridge St, San Francisco, CA 94016"
222645,Lightning Charging Cable,1,14.95,10/01/22 02:23,"341 Ridge St, Boston, MA 02215"
222646,27in FHD Monitor,1,149.99,09/14/22 19:26,"900 North St, Atlanta, GA 30301"
222647,USB-C Charging Cable,1,11.95,09/20/22 06:16,"696 Maple St, Los Angeles, CA 90001"
222648,Wired Headphones,1,11.99,09/11/22 19:10,"795 Highland St, Los Angeles, CA 90001"
222649,USB-C Charging Cable,1,11.95,09/08/22 08:45,"816 Pine St, Los Angeles, CA 90001"
222650,AAA Batteries (4-pack),1,2.99,09/19/22 12:24,"599 Hill St, Atlanta, GA 30301"
222651,AAA Batteries (4-pack),1,2.99,09/17/22 11:49,"759 Forest St, Los Angeles, CA 90001"
222652,AA Batteries (4-pack),1,3.84,09/08/22 15:20,"465 Hickory St, San Francisco, CA 94016"
222653,Wired Headphones,1,11.99,09/09/22 19:01,"506 Highland St, Dallas, TX 75001"
222654,27in 4K Gaming Monitor,1,389.99,09/02/22 22:04,"87 Sunset St, New York City, NY 10001"
222655,27in FHD Monitor,1,149.99,09/14/22 22:50,"355 1st St, San Francisco, CA 94016"
222656,27in FHD Monitor,1,149.99,09/29/22 00:01,"270 West St, Seattle, WA 98101"
222657,27in FHD Monitor,1,149.99,09/21/22 11:11,"52 Washington St, San Francisco, CA 94016"
222658,USB-C Charging Cable,1,11.95,09/02/22 19:26,"624 Washington St, New York City, NY 10001"
222659,Wired Headphones,1,11.99,09/16/22 00:56,"50 Cedar St, San Francisco, CA 94016"
222659,Lightning Charging Cable,1,14.95,09/16/22 00:56,"50 Cedar St, San Francisco, CA 94016"
222660,Apple Airpods Headphones,1,150.0,09/26/22 13:26,"534 Johnson St, San Francisco, CA 94016"
222661,Lightning Charging Cable,1,14.95,09/25/22 14:09,"421 11th St, Los Angeles, CA 90001"
222662,Google Phone,1,600.0,09/19/22 12:30,"901 Adams St, Portland, OR 97035"
222663,iPhone,1,700.0,09/06/22 00:45,"430 Lake St, Los Angeles, CA 90001"
222664,27in FHD Monitor,1,149.99,09/21/22 01:58,"795 South St, San Francisco, CA 94016"
222665,27in 4K Gaming Monitor,1,389.99,09/04/22 16:00,"276 Hill St, San Francisco, CA 94016"
222666,iPhone,1,700.0,09/22/22 11:01,"972 12th St, San Francisco, CA 94016"
222666,Lightning Charging Cable,1,14.95,09/22/22 11:01,"972 12th St, San Francisco, CA 94016"
222667,Lightning Charging Cable,1,14.95,09/13/22 21:29,"81 Center St, New York City, NY 10001"
222668,USB-C Charging Cable,1,11.95,09/21/22 06:11,"431 4th St, Los Angeles, CA 90001"
222669,Wired Headphones,1,11.99,09/22/22 22:33,"530 6th St, Dallas, TX 75001"
222670,Macbook Pro Laptop,1,1700.0,09/02/22 10:26,"777 Wilson St, Seattle, WA 98101"
222671,Wired Headphones,2,11.99,09/21/22 14:34,"966 Elm St, Austin, TX 73301"
222672,Wired Headphones,1,11.99,09/21/22 20:21,"352 Washington St, Atlanta, GA 30301"
222673,Wired Headphones,1,11.99,09/13/22 18:05,"232 Hill St, Los Angeles, CA 90001"
222674,Wired Headphones,1,11.99,09/17/22 16:02,"454 Wilson St, Boston, MA 02215"
222675,Lightning Charging Cable,1,14.95,09/09/22 22:07,"886 9th St, New York City, NY 10001"
222676,Bose SoundSport Headphones,1,99.99,09/17/22 10:27,"727 14th St, New York City, NY 10001"
222677,27in 4K Gaming Monitor,1,389.99,09/08/22 22:22,"682 Highland St, New York City, NY 10001"
222678,34in Ultrawide Monitor,1,379.99,09/08/22 12:32,"339 Lake St, San Francisco, CA 94016"
222678,Bose SoundSport Headphones,1,99.99,09/08/22 12:32,"339 Lake St, San Francisco, CA 94016"
,,,,,
